id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
297,conserve,/kənˈsɜːrv/,"to keep and protect something from damage, change, or waste","Giữ gìn, duy trì, bảo tồn, bảo toàn",,"To conserve electricity, we are cutting down on our heating. The nationalists are very eager to conserve their customs and language. I'm not being lazy - I'm just conserving my energy/strength for later."
298,consume,/kənˈsuːm/,to use something / to eat or drink something,"dùng, tiêu thụ / ăn uống",,"Our high living standards cause our current population to consume 25 percent of the world's oil. We consumed vast quantities of food and drink that night. Alcohol should be consumed in moderation, and this is particularly true for pregnant women."
299,discard,/dɪsˈkɑːrd/,to get rid of something that you no longer want or need,"Bỏ, loại bỏ, vứt bỏ (quần áo, thói quen, lòng tin...",,to get rid of something that you no longer want or need
300,dump,&nbsp;/dʌmp/,"to get rid of something you do not want, especially in a careless way Đổ ầm xuống, ném phịch xuống","Đổ thành đống (rác); vứt bỏ, gạt bỏ (ai...",,Too much toxic waste is being dumped at sea. The dead body was just dumped by the roadside.
301,eradicate,/ɪˈrædɪkeɪt/,"to destroy or get rid of something completely, especially something bad","nhổ tận gốc rễ,&nbsp;trừ tiệt, triệt hạ, xóa sạch.",,The government claims to be doing all it can to eradicate corruption. The disease that once claimed millions of lives has now been eradicated.
302,hoard,&nbsp;/hɔːrd/&nbsp;,"to collect large amounts of something and keep it in a safe, often secret, place","Trữ, tích trữ; dự trữ; dành dụm",,During the siege people began hoarding food and supplies. There would be enough food on a daily basis if people were not hoarding it.
303,maintain,&nbsp;/meɪnˈteɪn/&nbsp;,"to continue to have; to keep in existence, or not allow to become less","Giữ, duy trì, bảo vệ, bảo quản",,"The army has been brought in to maintain order in the region. We have standards to maintain. Despite living in different countries, the two families have maintained close links. The film has maintained its position as the critics' favourite for another year."
304,preserve,&nbsp;/prɪˈzɜːrv/,"to keep something as it is, especially in order to prevent it from decaying or being damaged or destroyed","Giữ, giữ gìn, bảo quản, bảo tồn, duy trì",,to preserve the environment Putting varnish on wood is a way of preserving it.
305,retain,/rɪˈteɪn/,to keep something; to continue to have something,"Vẫn giữ, vẫn có, vẫn duy trì, vẫn dùng, không bỏ",,to retain your independence He struggled to retain control of the situation. The house retains much of its original charm.
306,concrete jungle,,a way of describing a city or an area that is unpleasant because it has many buildings and no trees or parks,rừng bê-tông (một cách miêu tả khu vực đô thị,,
307,employment opportunities,,,cơ hội việc làm,,Here are some employment opportunities in the city
308,high-rise building,,,nhà cao tầng,,
309,housing estate,/ˈhaʊ.zɪŋ ɪˌsteɪt/,an area in which a large number of houses or flats/apartments are planned and built together at the same time,khu đô thị,,They live on a housing estate.
310,slum,/slʌm/&nbsp;,an area of a city that is very poor and where the houses are dirty and in bad condition,Khu nhà ổ chuột.,,a slum area city/urban slums She was brought up in the slums of Leeds.
311,noise pollution,/ˈnɔɪz pəˌluː.ʃən/,"noise, such as that from traffic, that upsets people where they live or work and is considered to be unhealthy for them",ô nhiễm tiếng ồn,,to tackle/ease/reduce noise pollution
312,suburbs,&nbsp;/ˈsʌbɜːrb/,an area where people live that is outside the centre of a city,"khu vực ngoại ô, ngoại thành",,a suburb of London a London suburb They live in the suburbs.
313,sewage,/ˈsuːɪdʒ/,the system of carrying away waste water and human waste from houses and other buildings through large underground pipes or passages,"hệ thống cống rãnh, mương thoát nước",,
314,congestion,/kənˈdʒestʃən/,the state of being crowded and full of traffic,tắc nghẽn (thường dùng để nói về giao thông,,traffic congestion and pollution
315,urban sprawl,/ˈɜr·bən ˈsprɔl/,"the spread of a city into the area surrounding it, often without planning",ào ạt vươn ra ngoại ô một cách thiếu quy hoạch,,Huge tourist attractions have produced choking urban sprawl.
316,frantic,/ˈfræntɪk/,done or arranged in a hurry and a state of excitement or confusion,"Điên cuồng, điên rồ, cuống cuồng",,They made frantic attempts to revive him. Things are frantic in the office right now.
317,high-rise,/ˈhaɪ.raɪz/&nbsp;,(of a building) very tall and having a lot of floors,Cao ngất (nhà nhiều tầng,,high-rise housing These high-rise apartment blocks were built in the 1960s.
318,isolated,&nbsp;/ˈaɪsəleɪtɪd/&nbsp;,(of buildings and places) far away from any others,"cô lập, biệt lập",,an isolated farm/village
319,overpopulated,/ˌoʊvərˈpɑːpjuleɪtɪd/,(of a country or city) with too many people living in it,"quá tải dân số, quá đông dân",,
320,migrate,&nbsp;/ˈmaɪɡreɪt/,"(of a lot of people) to move from one town, country, etc. to go and live and/or work in another","Di trú, di cư; ra nước ngoài.",,Thousands were forced to migrate from rural to urban areas in search of work.
321,settle,/ˈsetl/,to make a place your permanent home,"Làm ăn, sinh sống; ổn định cuộc sống, an cư lạc nghiệp, định cư.",,She settled in Vienna after her father's death.
322,tranquil,&nbsp;/ˈtræŋkwɪl/,"calm and peaceful and without noise, violence, worry, etc.:","Lặng lẽ, yên lặng, yên tĩnh; thanh bình.",,She stared at the tranquil surface of the water. The hotel is in a tranquil rural setting. A spasm of pain crossed his normally tranquil features.
323,abysmal,&nbsp;/əˈbɪzməl/,extremely bad or of a very low standard,"vô cùng tệ hại, thậm tệ",,His manners are abysmal. The council has an abysmal record on education.
324,catastrophe,/kəˈtæstrəfi/,a sudden event that causes many people to suffer,"Tai ương, tai biến, thảm hoạ, tai hoạ lớn.",disaster,Early warnings of rising water levels prevented another major catastrophe.
325,clone,&nbsp;/kloʊn/&nbsp;,to produce an exact copy of something,"nhân bản, sao chép giống hệt",,"A team from the UK were the first to successfully clone an animal. Dolly, the cloned sheep"
326,controversy,/ˈkɑːntrəvɜːrsi/&nbsp;,"a lot of disagreement or argument about something, usually because it affects or is important to many people","Sự tranh luận, sự tranh cãi.",,to arouse/cause controversy a bitter controversy over/about the site of the new airport the controversy surrounding his latest movie The President resigned amid considerable controversy.
327,crisis,&nbsp;/ˈkraɪsɪs/,"a time of great danger, difficulty or confusion when problems must be solved or important decisions must be made",Sự khủng hoảng; cơn khủng hoảng.,,a political/financial crisis the government’s latest economic crisis The business is still in crisis but it has survived the worst of the recession.
328,dilemma,/dɪˈlemə/,a situation in which a difficult choice has to be made between two different things you could do,"Thế tiến lui đều khó, thế tiến thoái lưỡng nan, tình trạng khó xử.",predicament,The president is clearly in a dilemma about/over how to tackle the crisis. She faces the dilemma of disobeying her father or losing the man she loves. a moral/ethical dilemma
329,disaster,/dɪˈzæstər/,"(an event that results in) great harm, damage, or death, or serious difficulty","Tai hoạ, thảm hoạ, tai ách;&nbsp;Điều bất hạnh.",catastrophe,An inquiry was ordered into the recent rail disaster (= a serious train accident). It would be a disaster for me if I lost my job. This is one of the worst natural disasters ever to befall the area.
330,hurdle,&nbsp;/ˈhɜːrdl/,a problem that you have to deal with before you can make progress,Nghĩa bóng) Vật chướng ngại.,obstacle,Getting a work permit was the first hurdle to overcome. The cost of this exercise is proving to be a major hurdle.
331,obstacle,/ˈɑːbstəkl/,"a situation, an event, etc. that makes it difficult for you to do or achieve something Sự cản trở, sự trở ngại.","Vật chướng ngại, trở lực.",hindrance,"A lack of qualifications can be a major obstacle to finding a job. So far, we have managed to overcome all the obstacles that have been placed in our path."
332,setback,/ˈsetbæk/,something that happens that delays or prevents a process from developing,"Một trở ngại, khó khăn, thụt lùi.",,The team suffered a major setback when their best player was injured. The breakdown in talks represents a temporary setback in the peace process.
333,catastrophic,/ˌkætəˈstrɑːfɪk/&nbsp;,causing a lot of damage and suffering; causing a lot of problems,"Thảm hoạ, thê thảm.",disastrous,a catastrophic earthquake/flood/wildfire a catastrophic failure/collapse/defeat (US English) a catastrophic illness (= one that costs a very large amount to treat)
334,daunting,/ˈdɔːntɪŋ/,making you feel slightly frightened or worried about your ability to achieve something,"Làm thoái chí, làm nản chí.",intimidating,She has the daunting task of cooking for 20 people every day. Starting a new job can be a daunting prospect.
335,disastrous,/dɪˈzæstrəs/,"very bad, harmful or unsuccessful Bất hạnh.","Tai hại, thảm khốc.","catastrophic, devastating",Such a war would be disastrous for the country. This decision will have a disastrous impact on foreign policy. His first attempt was disastrous.
336,insurmountable,/ˌɪnsərˈmaʊntəbl/,"(of difficulties, problems, etc.) that cannot be dealt with successfully",Không vượt qua được (vật chướng ngại... ).,insuperable,The age barrier appeared insurmountable. They were now faced with seemingly insurmountable technical problems.
337,ongoing,/ˈɔːnɡoʊɪŋ/,continuing to exist or develop,"liên tục, vẫn đang diễn ra, vẫn đang tiếp tục diễn biến",,an ongoing debate/discussion/process The police investigation is ongoing. Training is part of our ongoing career development program.
338,pervasive,/pərˈveɪsɪv/,"present or noticeable in every part of a thing or place Lan tràn khắp, thâm nhập khắp.",Toả khắp.,,The influence of Freud is pervasive in her books. a pervasive smell of diesel Reforms are being undermined by the all-pervasive corruption in the country.
339,problematic,/ˌprɑːbləˈmætɪk/,difficult to deal with or to understand; full of problems; not certain to be successful,có nhiều vấn đề khó khăn,,The situation is more problematic than we first thought. Getting everyone there on time might prove problematic.
340,do more harm than good,,to be damaging and not helpful,"lợi bất cập hại, hại nhiều hơn lợi",,Getting involved at this stage would do more harm than good.
341,dwell on,/dwel/,"to keep thinking or talking about something, especially something that would be better to forget","Dừng lại ở, chăm chú vào, nhấn lâu vào, day đi day lại, nói đi nói lại.",,"So you made a mistake, but there's no need to dwell on it."
342,energy crisis,,a shortfall in or interruption to the provision of energy supplies,khủng hoảng năng lượng,,A solution to the global energy crisis may be at hand. Oil shortages have brought on an energy crisis.
343,gain insight into,,to have a clear and deep understanding of a complicated problem or situation,"hiểu thấu được bên trong sự vật, sự việc",,Using storytelling to gain insight into patient perspectives on disease
344,genetically modified,,,thực phẩm) biến đổi gen,,
345,take stock of something,,"to think carefully about a situation or event and form an opinion about it, so that you can decide what to do next","Nghĩa bóng) Nhận xét, đánh giá.",,"It was time to stand back and take stock of his career. After two years spent teaching overseas, she returned home for a month to take stock of her life."
346,aggravate,/ˈæɡrəveɪt/,to make a bad situation worse (antonym: alleviate),"Làm trầm trọng thêm, làm nặng thêm, làm nguy ngập thêm, làm xấu thêm.",,The government’s actions will only aggravate the problem. He aggravated an old shoulder injury during the win against Chelsea. The treatment only aggravated the condition.
347,alleviate,/əˈliːvieɪt/,to make something less severe,"Làm nhẹ bớt, làm giảm bớt, làm đỡ, làm dịu, làm khuây (sự đau, nỗi đau khổ, nỗi phiền muộn).",ease,These measures are designed to alleviate the situation. Are we doing enough to alleviate poverty in these countries? The drugs did nothing to alleviate her pain/suffering.
348,arise,/əˈraɪz/,(especially of a problem or a difficult situation) to happen; to start to exist Phát sinh do; do bởi.,"Xuất hiện, nảy sinh ra, xảy ra.",,A new crisis has arisen. We keep them informed of any changes as they arise. Children should be disciplined when the need arises (= when it is necessary). A storm arose during the night.
349,exacerbate,/ɪɡˈzæsərbeɪt/,"to make something that is already bad even worse, especially a disease or problem","Làm tiêu cực thêm, làm xấu đi, làm trầm trọng thêm (bệnh, sự tức giận, sự đau đớn).",aggravate,His aggressive reaction only exacerbated the situation. The symptoms may be exacerbated by certain drugs. This attack will exacerbate the already tense relations between the two communities.
350,hinder,/ˈhɪndər/,to make it difficult for somebody to do something or for something to happen,"Cản trở, gây trở ngại.",hamper,a political situation that hinders economic growth Some teachers felt hindered by a lack of resources. An injury was hindering him from playing his best.
351,ignore,&nbsp;/ɪɡˈnɔːr/,to pay no attention to something,"Lờ đi, phớt đi, làm ra vẻ không biết đến; kệ, bỏ qua.",,He ignored all the ‘No Smoking’ signs and lit up a cigarette. I made a suggestion but they chose to ignore it. We cannot afford to ignore their advice. She deliberately ignored my question and changed the subject.
352,improve,/ɪmˈpruːv/,to become better than before; to make something/somebody better than before,"Cải tiến, cải thiện, cải tạo, trau dồi (tư tưởng), mở mang (kiến thức... ).",,His quality of life has improved dramatically since the operation. The doctor says she should continue to improve (= after an illness). I hope my French will improve when I go to France.
353,mitigate,/ˈmɪtɪɡeɪt/,"to make something less harmful, serious, etc.","Giảm nhẹ, làm dịu bớt, làm cho đỡ.",alleviate,action to mitigate poverty Soil erosion was mitigated by the planting of trees. It is unclear how to mitigate the effects of tourism on the island.
354,rectify,/ˈrektɪfaɪ/,to put right something that is wrong (synonym : correct),"Sửa, sửa cho thẳng.",,"The mistake can easily be rectified. It’s not too late to rectify matters. There were some errors in the report, but these were easy to rectify. We must take immediate steps to rectify the situation."
355,resolve,/rɪˈzɔːlv/,to find an acceptable solution to a problem or difficulty,"Giải quyết (khó khăn, vấn đề, mối nghi ngờ...).",settle,to resolve an issue/a dispute/a conflict/a crisis Attempts are being made to resolve the problem of security in schools. Both sides met in order to try to resolve their differences. Be patient and the situation may resolve itself.
356,aftershock,&nbsp;/ˈæftərʃɑːk/,a small earthquake that happens after a bigger one,"Địa lý,địa chất) Dư chấn.",,The area suffered a series of aftershocks measuring up to 6.3 on the Richter scale. The initial earthquake was followed by a series of aftershocks.
357,agriculture,/ˈæɡrɪkʌltʃər/,,nông nghiệp,,The number of people employed in agriculture has fallen in the last decade. 50% of the country’s population depends on agriculture.
358,cattle,/ˈkætl/,cows and bulls that are kept as farm animals for their milk or meat,gia súc,,a herd of cattle twenty head of cattle (= twenty cows) dairy/beef cattle The prisoners were herded into trucks like cattle.
359,coast,/koʊst/,the land beside or near to the sea or ocean,Bờ biển.,,a town on the south coast of England islands off the west coast of Ireland a trip to the coast We walked along the coast for five miles. the Welsh coast a pretty stretch of coast the coast road
360,deforestation,/ˌdiːˌfɔːrɪˈsteɪʃn/,the act of cutting down or burning the trees in an area,Sự phá rừng; sự phát quang.,,land erosion caused by widespread deforestation
361,desalination,/ˌdiːˌsælɪˈneɪʃn/&nbsp;,the process of removing salt from sea water,Sự khử muối từ nước biển.,,a desalination plant
362,erosion,/ɪˈroʊʒn/,"the process by which soil, stone, etc. being gradually damaged and removed by the waves, rain, or wind","Sự xói mòn, sự ăn mòn.",,the erosion of the coastline by the sea soil erosion
363,fungus,/ˈfʌŋɡəs/,any of various types of organisms that get their food from decaying material or other living things,nấm,,Mushrooms and mould are fungi. Fungus can be poisonous.
364,herbivore,/ˈhɜːrbɪvɔːr/,any animal that eats only plants,Động vật ăn cỏ.,,Cows and sheep are herbivores.
365,lava,/ˈlɑːvə/,hot liquid rock that comes out of a volcano,"Địa lý, địa chất) Lava, dung nham.",,molten lava
366,petal,/ˈpetl/,a delicate coloured part of a flower.,Thực vật học) Cánh hoa.,,rose petals
367,productivity,/ˌproʊdʌkˈtɪvəti/&nbsp;,,"Sức sản xuất; năng suất, hiệu suất.",,high/improved/increased productivity Wage rates depend on levels of productivity. the low agricultural productivity of the country
368,puddle,/ˈpʌdl/,"a small amount of water or other liquid, especially rain, that has collected in one place on the ground",Vũng nước (mưa... ).,,
369,reservoir,/ˈrezərvwɑːr/,"a natural or artificial lake where water is stored before it is taken by pipes to houses, etc.",Bể chứa nước; hồ dự trữ nước,,
370,shore,/ʃɔːr/,"the land along the edge of the sea or ocean, a lake or another large area of water","bờ (biển, hồ",,a rocky/sandy shore to swim from the boat to the shore a house on the shores of the lake
371,species,/ˈspiːʃiːz/,,Sinh vật học) Loài.,,a rare species of beetle There are many species of dog(s). a conservation area for endangered species
372,stem,/stem/,,"Thực vật học) Thân (cây); cuống, cọng (lá, hoa).",,"long, trailing stems of ivy a tall plant with branching stems There are several leaves on each stem. When the bush has finished flowering, cut back all the stems."
373,tide,/taɪd/,,"Triều, thuỷ triều, con nước.",,the ebb and flow of the tide The tide is in/out. Is the tide coming in or going out? The body was washed up on the beach by the tide.
374,tremor,/ˈtremər/,a small earthquake in which the ground shakes slightly,"chấn động, rung động",,an earth tremor The tremor was felt as far as 200 miles away.
375,current,/ˈkɜːrənt/,"the movement of water in the sea or a river; the movement of air in a particular direction the flow of electricity through a wire, etc.","Dòng (nước); luồng (gió, không khí); (điện học) dòng điện.",,He swam to the shore against a strong current. Birds use warm air currents to help their flight.
376,dense,/dens/,having parts that are close together so that it is difficult to go or see through Đông đúc; rậm rạp.,"Dày đặc, chặt.",,dense fog a dense forest The body was found hidden in dense undergrowth.
377,freezing,&nbsp;/ˈfriːzɪŋ/,extremely cold,"Giá lạnh, băng giá, rét lắm.",,"It's freezing in here - can I close the window? They survived for four hours in the freezing water. After walking through the snow, my feet were freezing. I had to wait for hours on the freezing cold station platform."
378,long-term,/ˌlɔːŋ ˈtɜːrm/,that will last or have an effect over a long period of time,"Dài hạn, dài ngày, lâu dài.",,a long-term strategy the long-term effects of fertilizers a long-term investment
379,native,/ˈneɪtɪv/,(of animals and plants) existing naturally in a place,"bản địa, thuộc về một vùng đất nào đó",,the native plants of America The tiger is native to India. native species Some animals are in danger because their native habitat is being destroyed.
380,resistant,/rɪˈzɪstənt/,not affected by something; able to resist something,"Có sức chịu đựng, có sức bền, bền.",,plants that are resistant to disease Mosquitoes are becoming resistant to insecticides.
381,severe,/sɪˈvɪr/,extremely bad or serious,"Rất xấu, rất mãnh liệt, rất gay go, khốc liệt, dữ dội.",,a severe handicap His injuries are severe. severe weather conditions a severe winter (= one during which the weather conditions are extremely bad)
382,torrential,/təˈrenʃl/,(of rain) falling in large amounts,"Như thác, cuồn cuộn.",,torrential rain a torrential downpour/storm
383,tropical,&nbsp;/ˈtrɑːpɪkl/,"coming from, found in or typical of the tropics",Thuộc) Nhiệt đới.,,tropical fish tropical Africa a tropical island
384,a storm in a teacup,,a lot of anger or worry about something that is not important,chuyện bé xé ra to,,I think it's all a storm in a teacup - there's probably no danger to public health at all.
385,be snowed under with something,,"to have more things, especially work, than you feel able to deal with",có nhiều việc hơn mức có thể làm,,I'd love to come but I'm completely snowed under at the moment. I'm absolutely snowed under with work at the moment.
386,every cloud has a silver lining,,every sad or difficult situation has a positive side,bất cứ vấn đề xấu gì cũng đều có một mặt tốt trong đó,,"I'm sorry your business is going badly, but don't despair. Every cloud has a silver lining. When Mary's friends visited her in the hospital, they tried to cheer her up, but Mary never could find the silver lining in the cloud of her illness."
387,in the cold light of day,,"If you think about something in the cold light of day, you think about it clearly and calmly, without the emotions you had at the time it happened, and you often feel sorry or ashamed about it",khi đã bình tĩnh suy nghĩ lại (thường là cảm thấy ân hận hoặc xấu hổ,,"These things always look different in the cold light of day. The next morning, in the cold light of day, Sarah realized what a complete idiot she had been. They had a terrible fight about the mix-up, but in the cold light of day they realized they were both at fault ."
388,see which way the wind is blowing,,to get an idea of what is likely to happen before doing something,"suy tính, dự đoán trước khi hành động",,We studied the whole situation to see which way the wind was blowing and decided to avoid any conflict at that time. Sam failed to see which way the wind was blowing and got himself caught up in an argument.
389,not have the foggiest idea,,to not know anything at all about something,không biết một chút gì về cái gì đó,,"‘Do you know where she is?’ ‘Sorry, I haven't the foggiest.’ I didn't have the foggiest idea what he was talking about. I simply knew I had to get away. These people don't have the foggiest idea what America's really like."
390,the calm before the storm,,a calm time immediately before an expected period of violent activity or argument,khoảng lặng trước cơn bão,,"I like to get everything done before the guests arrive and relax for a moment in the calm before the storm. For most teachers, the days just before the school year begins are the calm before the storm."
391,not a cloud in the sky,,"there are no longer any problems, or all the bad things have gone away.","không có một vấn đề gì cả, mọi sự đều sẽ OK",,
392,vicious circle,,a situation in which one problem causes another problem which then makes the first problem worse,"tình huống mà thứ A tạo ra thứ B, rồi thứ B lại làm thứ A mạnh lên, khiến tình huống càng ngày càng tệ đi",,Many people get caught/trapped in a vicious circle of dieting and weight gain
393,weather the storm,,"If someone or something w_______r the st___m, they successfully deal with a very difficult problem",,,"In the next few days we will see if the ambassador can weather the political storm caused by his remarks. Bob lost his job, but somehow his family weathered the storm."
394,breed,/briːd/,to keep animals for the purpose of producing young animals in a controlled way,Gây giống; chăn nuôi.,,The rabbits are bred for their long coats. Greyhounds were originally bred as hunting dogs. the first panda to be bred in captivity
395,flow,/floʊ/,"(of liquid, gas or electricity) to move steadily and continuously in one direction","chảy, chạy",,She lost control and the tears began to flow. It's here that the river flows down into the ocean. Blood flowed from a cut on her head. This can prevent air from flowing freely to the lungs. the electric currents flowing through the cables
396,sow,/soʊ/,to plant or spread seeds in or on the ground,gieo hạt,,Sow the seeds in rows. Sow the seeds quite thinly. Water well after sowing. Sow rows of lettuces between other vegetables.
397,biofuel,/ˈbaɪoʊfjuːəl/,fuel made from plant or animal sources and used in engines,nhiên liệu sinh học,,biofuels made from sugar cane and sugar beet energy from biofuel sources
398,carbon footprint,&nbsp;/ˌkɑːrbən ˈfʊtprɪnt/,a measure of the amount of carbon dioxide that is produced by the daily activities of a person or company,dấu chân cacbon (tổng lượng khí thải từ các hoạt động thường ngày của mỗi cá nhân,,Flying is the biggest contribution to my carbon footprint. an analysis of the carbon footprints of leading companies Companies are measuring their carbon footprints. a carbon footprint calculator
399,consumption,/kənˈsʌmpʃn/,"the act of using energy, food or materials; the amount used","Sự tiêu thụ, sự tiêu dùng (hàng hoá, điện, than, nước... ).",,the production of fuel for domestic consumption (= to be used in the country where it is produced) Gas and oil consumption always increases in cold weather. The meat was declared unfit for human consumption.
400,fumes,&nbsp;/fjuːmz/,"smoke, gas, or something similar that smells strongly or is dangerous to breathe in",khói độc,,diesel/petrol/exhaust fumes to be overcome by smoke and fumes Clouds of toxic fumes escaped in a huge chemical factory blaze. The body of a man was found in a fume-filled car yesterday.
401,greenhouse gas,,"a gas that causes the greenhouse effect, especially carbon dioxide","khí nhà kính, đặc biệt là CO2",,
402,mining,/ˈmaɪnɪŋ/,the process of getting coal and other minerals from under the ground; the industry involved in this,"Sự khai thác, sự khai mỏ.",,coal/diamond/gold/tin mining a mining company/community/engineer Mining is prohibited in the National Park
403,natural resources,/ˌnætʃ.ɚ.əl ˈriː.sɔːr.sɪz/,"things such as minerals, forests, coal, etc. that exist in a place and can be used by people",tài nguyên thiên nhiên,,"Some natural resources, such as natural gas and fossil fuel, cannot be replaced."
404,precious metal,,a very valuable metal such as gold or silver,kim loại quý,,a craftsman in precious metals coins made of precious metal Platinum and gold are precious metals.
405,scale,/skeɪl/,"the size or level of something, especially when this is large","quy mô, phạm vi.",,"Nuclear weapons cause destruction on a massive scale (= cause a lot of destruction). Here was corruption on a grand scale. On a global scale, 77% of energy is created from fossil fuels."
406,wind farm,&nbsp;/ˈwɪnd fɑːrm/,,cánh đồng điện gió,,"It is a very good place for a wind farm because the ground is flat. The wind turbines on the wind farms in Greensburg make enough energy for 4,000 homes."
407,carbon neutral,,"If a person, organization, event, etc. is ca_____n ne___al, it does things such as planting trees to reduce carbon dioxide by the same amount as it produces it.",phát thải Carbon trung tính (giúp làm giảm lượng khí thải bằng đúng lượng khí thải mà nó thải ra,,All of these fuels are renewable and carbon neutral. a carbon-neutral house that uses no energy from external sources buildings designed to be carbon neutral
408,eco-friendly,,not harmful to the environment,thân thiện với môi trường,,eco-friendly products
409,rechargeable,/ˌriːˈtʃɑːrdʒəbl/,(of a battery) that can be filled again with electrical power,Có thể sạc lại.,,rechargeable batteries
410,recyclable,/ˌriːˈsaɪkləbl/,able to be recycled,có thể tái chế,,Glass products are completely recyclable. Paper is easily recyclable.
411,renewable,&nbsp;/rɪˈnuːəbl/,(of energy and natural resources) that is replaced naturally or controlled carefully and can therefore be used without the risk of finishing it all,"năng lượng) có thể tái tạo, có thể hồi phục lại",,renewable sources of energy such as wind and solar power
412,precious,/ˈpreʃəs/,valuable or important and not to be wasted,"Quý, quý giá, quý báu.",,Clean water is a precious commodity in that part of the world. You're wasting precious time!
413,sustainable,/səˈsteɪnəbl/,that can continue or be continued for a long time,Có thể duy trì lâu dài được / Có thể phát triển bền vững,,"sustainable economic growth That sort of extreme diet is not sustainable over a long period. Unfortunately, this level of output is not sustainable."
414,unleaded,/ˌʌnˈledɪd/,petrol/gas that does not contain lead and is therefore less harmful to the environment,"về xăng dầu, nhiên liệu) không chứa chì",,Unleaded is cheaper than diesel.
415,curb,/kɜːrb/,"to control or limit something, especially something bad","Kiềm chế, nén lại; hạn chế.",,He needs to learn to curb his temper. A range of policies have been introduced aimed at curbing inflation.
416,emit,/iˈmɪt/,"to send out something such as light, heat, sound, gas, etc.","Phát ra (ánh sáng, nhiệt...), bốc ra, tỏa ra (mùi vị, hơi...).",,The alarm emits infrared rays which are used to detect any intruder. The machine emits a high-pitched sound when you press the button.
417,exhaust,<div>/ɪɡˈzɔːst/</div>,to use all of something so that there is none left,"Làm kiệt quệ, làm rỗng, làm cạn; dốc hết, dùng hết sạch.",,Within three days they had exhausted their supply of food. How long will it be before the world's fuel supplies are exhausted?
418,harness,/ˈhɑːrnɪs/,to control and use the force or strength of something to produce power or to achieve something (vd: dùng sức nước để tạo thủy điện),khai thác sức mạnh của một cái gì đó để phục vụ cho mục đích của mình&nbsp;,,attempts to harness the sun’s rays as a source of energy We must harness the skill and creativity of our workforce. How can this energy be harnessed effectively for the good of humankind? They are attempting to harness the power of the sun.
419,asset,/ˈæset/,[ C usually plural ] something valuable belonging to a person or organization,"thường ở dạng số nhiều)&nbsp;(Số nhiều) Của cải, tài sản, vật thuộc quyền sở hữu.",,"A company's assets can consist of cash, investments, specialist knowledge, or copyright material. Her assets include shares in the company and a house in France. asset sales/management"
420,bankruptcy,/ˈbæŋkrʌptsi/,a situation in which a business or a person becomes bankrupt,"Sự vỡ nợ, sự phá sản.",,The company was forced into bankruptcy. The toll of bankruptcies was rising daily.
421,bottom line,/ˌbɑː.t̬əm ˈlaɪn/,(business) [countable] the amount of money that is a profit or a loss after everything has been calculated,con số (doanh thu/thiệt hại) sau cùng,,The bottom line for 2014 was profit of £85 million. How will the rise in interest rates affect our bottom line?
422,budget,/ˈbʌdʒɪt/,the amount of money you have available to spend,"Ngân sách, ngân quỹ.",,an advertising budget of $2 million a big-budget movie We decorated the house on a tight budget (= without much money to spend). The work was finished on time and within budget (= did not cost more money than was planned). They went over budget (= spent too much money).
423,client,/ˈklaɪənt/,a customer or someone who receives services,"Khách hàng (của luật sư, cửa hàng... ).",,Mr Black has been a client of this firm for many years. We always aim to give our clients personal attention.
424,credit rating,,"a judgement made by a bank, etc. about how likely somebody is to pay back money that they borrow, and how safe it is to lend money to them",đánh giá tín dụng (để xem có an toàn để cho vay hay không,,
425,cutback,/ˈkʌtbæk/,"a reduction in something, made in order to save money",Sự cắt giảm để tiết kiệm chi phí,,cutbacks in public spending The closure of the Manchester printing factory is the company's biggest single cutback so far.
426,earnings,/ˈɜːrnɪŋz/,the amount of money that someone is paid for working,"tiền kiếm được, tiền lương.",,a rise in average earnings compensation for loss of earnings caused by the accident
427,equity,/ˈekwəti/,(formal) a situation in which everyone is treated equally,"Tính công bằng, tính vô tư.",,a society based on equity and social justice
428,household name,,a famous person that most people know of,người nổi tiếng (mọi nhà đều biết,,She became a household name in the 1960s.
429,luxury goods,/ˌlʌk.ʃɚ.i ˈɡʊdz/,"expensive things, such as jewellery and make-up, that are pleasant to have but are not necessary",xa xỉ phẩm,,The government will pay for the new schools by increasing the tax on luxury goods.
430,bankrupt,/ˈbæŋkrʌpt/,without enough money to pay what you owe,"Vỡ nợ, phá sản.",,He went bankrupt after only a year in business. The recession has led to many small businesses going bankrupt. I'll go bankrupt if you kids keep asking me for money!
431,hands-on,,doing something rather than just talking about it,Thực hành trực tiếp,,hands-on computer training to gain hands-on experience of industry a hands-on style of management
432,managerial,&nbsp;/ˌmænəˈdʒɪriəl/,connected with the work of a manager,"Thuộc) Người quản lý, (thuộc) giám đốc; (thuộc) ban quản trị.",,Does she have any managerial experience? managerial responsibilities/decisions/skills
433,calculated risk,/ˌkæl.kjʊ.leɪ.t̬ɪd ˈrɪsk/,"a risk that you consider worth taking because the result, if it is successful, will be so good",rủi ro có thể chấp nhận được vì đáng với kết quả thu về nếu thành công,,The director took a calculated risk in giving the film's main role to an unknown actor.
434,chair a meeting,,to act as the chairman or chairwoman of a meeting,lãnh đạo một cuộc họp,,Who's chairing the meeting? Would you like to chair tomorrow's meeting?
435,golden opportunity,,a very good chance to do or achieve something,cơ hội vàng,,"When I failed to finish college, I missed my golden opportunity to prepare myself for a good job."
